"dataset","end-date","entity","entry-date","geojson","geometry","name","organisation-entity","point","prefix","quality","reference","start-date","typology","designation-date","document-url","documentation-url","legislation","notes","organisation"
"conservation-area",,44003600,"2025-09-09",,"MULTIPOLYGON (((-1.462881 54.843049,-1.463161 54.843079,-1.464025 54.843247,-1.464478 54.843311,-1.464507 54.843296,-1.464996 54.843163,-1.465341 54.843088,-1.465550 54.843005,-1.465822 54.842941,-1.465784 54.842774,-1.465899 54.842753,-1.465902 54.842761,-1.466121 54.842750,-1.466133 54.842730,-1.466684 54.842728,-1.466641 54.842472,-1.466938 54.842463,-1.466945 54.842328,-1.466990 54.842043,-1.467027 54.841899,-1.467093 54.841710,-1.467183 54.841497,-1.467273 54.841321,-1.467395 54.841128,-1.467505 54.840987,-1.466525 54.841127,-1.466489 54.841078,-1.466248 54.841108,-1.465591 54.841226,-1.465415 54.841246,-1.464232 54.841465,-1.464173 54.841438,-1.464101 54.841426,-1.463944 54.841433,-1.463628 54.841475,-1.463199 54.841570,-1.463350 54.841817,-1.463416 54.841908,-1.463473 54.842021,-1.463532 54.842083,-1.463610 54.842215,-1.463472 54.842233,-1.463324 54.842263,-1.461902 54.842464,-1.461901 54.842513,-1.461928 54.842537,-1.461769 54.842568,-1.461755 54.842611,-1.461733 54.842927,-1.461769 54.843064,-1.461850 54.843063,-1.462133 54.843036,-1.462381 54.843027,-1.462473 54.843026,-1.462881 54.843049)))","Nesham Place","303","POINT (-1.464816 54.842216)","conservation-area","some","1851","1975-01-01","geography","1975-01-01",,,,,
"conservation-area",,44003601,"2025-09-09",,"MULTIPOLYGON (((-1.473532 54.858624,-1.473977 54.859023,-1.474118 54.859161,-1.474244 54.858989,-1.474255 54.858926,-1.474345 54.858770,-1.474485 54.858622,-1.474869 54.858364,-1.474986 54.858270,-1.475365 54.858040,-1.475380 54.857984,-1.475378 54.857966,-1.475298 54.857836,-1.475380 54.857815,-1.475379 54.857805,-1.475388 54.857799,-1.476119 54.857683,-1.476242 54.857666,-1.476316 54.857664,-1.476349 54.857647,-1.476620 54.857608,-1.476789 54.857551,-1.477316 54.857503,-1.477496 54.857468,-1.477554 54.857433,-1.477596 54.857507,-1.477834 54.857493,-1.478077 54.857459,-1.478121 54.857411,-1.478152 54.857336,-1.478653 54.857360,-1.478678 54.857290,-1.478685 54.857105,-1.478670 54.856851,-1.478632 54.856765,-1.478485 54.856616,-1.478314 54.856460,-1.478338 54.856451,-1.478261 54.856347,-1.478222 54.856310,-1.478227 54.856308,-1.478198 54.856271,-1.478180 54.856232,-1.478122 54.856177,-1.478318 54.856112,-1.478341 54.856097,-1.478209 54.855857,-1.478114 54.855870,-1.478083 54.855866,-1.477689 54.855918,-1.477426 54.855995,-1.477307 54.855854,-1.477370 54.855845,-1.477381 54.855762,-1.477257 54.855603,-1.477052 54.855664,-1.476915 54.855488,-1.476814 54.855515,-1.476659 54.855307,-1.476604 54.855207,-1.476547 54.855063,-1.476436 54.854472,-1.476428 54.854310,-1.476435 54.854260,-1.476418 54.854176,-1.476462 54.853936,-1.476482 54.853913,-1.476500 54.853906,-1.476291 54.853883,-1.475741 54.853890,-1.475382 54.853948,-1.475002 54.854045,-1.475088 54.854305,-1.475153 54.854303,-1.475177 54.854360,-1.475599 54.854379,-1.475599 54.854366,-1.475839 54.854371,-1.475944 54.854409,-1.476037 54.854734,-1.476025 54.854736,-1.476106 54.854977,-1.476094 54.854978,-1.476137 54.855057,-1.475933 54.855080,-1.475942 54.855264,-1.475999 54.855384,-1.476042 54.855428,-1.476024 54.855432,-1.476216 54.855807,-1.476264 54.855886,-1.475090 54.856159,-1.474317 54.856360,-1.474052 54.856421,-1.472117 54.856835,-1.471363 54.857011,-1.470385 54.857092,-1.470391 54.857155,-1.470479 54.857601,-1.470280 54.857620,-1.470271 54.857578,-1.469427 54.857596,-1.469270 54.857621,-1.469553 54.858017,-1.469597 54.858095,-1.469817 54.858386,-1.470558 54.858215,-1.471353 54.858044,-1.471488 54.858037,-1.471592 54.858058,-1.471708 54.858107,-1.472022 54.858327,-1.472327 54.858496,-1.472275 54.858513,-1.472283 54.858517,-1.472204 54.858553,-1.472098 54.858568,-1.472118 54.858617,-1.472194 54.858742,-1.472918 54.858622,-1.473482 54.858514,-1.473532 54.858624)))","Newbottle Village","303","POINT (-1.474544 54.857053)","conservation-area","some","1854","1975-01-01","geography","1975-01-01","https://www.sunderland.gov.uk/media/2671/Newbottle-Village-Character-Appraisal-Adopted-as-Planning-Guidance-in-March-2009/pdf/Newbottle_planning_guidance_LQR.pdf?m=1652275548957","https://www.sunderland.gov.uk/conservation",,"Best Map is shown on page 9 of the appraisal document.",
"conservation-area",,44003602,"2025-09-09",,"MULTIPOLYGON (((-1.369662 54.910882,-1.369816 54.910936,-1.369672 54.911261,-1.369700 54.911267,-1.369896 54.911097,-1.369864 54.911085,-1.369911 54.911043,-1.369899 54.911037,-1.369888 54.911015,-1.370072 54.910825,-1.370200 54.910651,-1.370272 54.910587,-1.370314 54.910536,-1.370575 54.910312,-1.370667 54.910220,-1.370819 54.910162,-1.370883 54.910121,-1.370921 54.910069,-1.370916 54.910056,-1.372113 54.909706,-1.372376 54.909680,-1.372755 54.909628,-1.372786 54.909626,-1.372796 54.909650,-1.373379 54.909637,-1.373628 54.909642,-1.374230 54.909687,-1.375284 54.909833,-1.375558 54.909881,-1.375747 54.909923,-1.375756 54.909909,-1.375843 54.909926,-1.375875 54.909863,-1.376517 54.910081,-1.376921 54.910096,-1.376943 54.910089,-1.377167 54.910095,-1.377841 54.910072,-1.378374 54.910026,-1.378960 54.909927,-1.379334 54.909909,-1.380510 54.909730,-1.381417 54.909632,-1.382163 54.909569,-1.382318 54.909548,-1.382515 54.909538,-1.382548 54.909518,-1.382584 54.909518,-1.382686 54.909498,-1.382714 54.909501,-1.382539 54.908613,-1.381507 54.908706,-1.380878 54.908804,-1.379841 54.908928,-1.378192 54.909110,-1.377722 54.909117,-1.377610 54.908753,-1.377612 54.908737,-1.377360 54.908757,-1.377232 54.908782,-1.377088 54.908752,-1.377014 54.908699,-1.376931 54.908432,-1.377033 54.908412,-1.377022 54.908342,-1.377275 54.908309,-1.377752 54.908262,-1.377810 54.908266,-1.377814 54.908278,-1.377939 54.908257,-1.377919 54.908243,-1.377890 54.908165,-1.377815 54.907929,-1.377819 54.907913,-1.378328 54.907818,-1.378272 54.907719,-1.378087 54.907437,-1.377206 54.907596,-1.376472 54.907750,-1.375714 54.907894,-1.375681 54.907913,-1.375663 54.907954,-1.375667 54.908132,-1.375664 54.908169,-1.375649 54.908210,-1.375620 54.908247,-1.375571 54.908282,-1.375460 54.908326,-1.374834 54.908448,-1.373395 54.908690,-1.372759 54.908788,-1.372683 54.908775,-1.372627 54.908738,-1.372512 54.908542,-1.372509 54.908530,-1.372518 54.908516,-1.372461 54.908452,-1.372422 54.908443,-1.372402 54.908410,-1.372149 54.907980,-1.372144 54.907961,-1.372153 54.907941,-1.372121 54.907900,-1.371696 54.907962,-1.371479 54.907984,-1.371029 54.908067,-1.370831 54.907720,-1.370609 54.907359,-1.370578 54.907300,-1.370582 54.907278,-1.370536 54.907210,-1.370197 54.907227,-1.370240 54.907352,-1.370356 54.907543,-1.369241 54.907763,-1.369431 54.908083,-1.369475 54.908144,-1.369919 54.908635,-1.369412 54.908795,-1.369578 54.908905,-1.369405 54.908993,-1.368519 54.909538,-1.369608 54.910100,-1.369647 54.910136,-1.369799 54.910187,-1.369519 54.910443,-1.369188 54.910707,-1.369217 54.910734,-1.369293 54.910768,-1.369391 54.910800,-1.369491 54.910816,-1.369603 54.910865,-1.369662 54.910882)))","Old Sunderland Riverside","303","POINT (-1.374765 54.909083)","conservation-area","some","1849",,"geography",,,,,,
"conservation-area",,44003603,"2025-09-09",,"MULTIPOLYGON (((-1.370479 54.927658,-1.370458 54.927813,-1.370505 54.927858,-1.371242 54.927872,-1.371256 54.927652,-1.372174 54.927670,-1.372190 54.927222,-1.371253 54.927219,-1.371253 54.927169,-1.371240 54.927108,-1.371373 54.926414,-1.371574 54.925756,-1.371757 54.925118,-1.371701 54.925006,-1.371774 54.924756,-1.371876 54.924702,-1.371885 54.924678,-1.371945 54.924506,-1.371972 54.924369,-1.372322 54.923230,-1.372319 54.923214,-1.372455 54.922381,-1.372575 54.922187,-1.372496 54.922165,-1.372492 54.922146,-1.372031 54.922015,-1.371913 54.921962,-1.371844 54.921951,-1.371841 54.921939,-1.371308 54.921778,-1.371250 54.921885,-1.371168 54.921965,-1.370994 54.922063,-1.370832 54.922108,-1.369233 54.922346,-1.368317 54.922474,-1.368427 54.922738,-1.367987 54.922801,-1.367952 54.922644,-1.367728 54.922687,-1.367404 54.922733,-1.367179 54.921543,-1.367087 54.921156,-1.367046 54.921067,-1.366078 54.921362,-1.365535 54.921515,-1.365552 54.921456,-1.365552 54.921373,-1.365535 54.921315,-1.365485 54.921225,-1.365414 54.920870,-1.365321 54.920476,-1.365284 54.920415,-1.365218 54.920368,-1.365147 54.920343,-1.365052 54.920328,-1.364327 54.920387,-1.364024 54.920448,-1.363772 54.920559,-1.363931 54.920927,-1.364091 54.921345,-1.364284 54.921902,-1.364354 54.922143,-1.364364 54.922203,-1.364363 54.922267,-1.364338 54.922370,-1.364281 54.922457,-1.364168 54.922557,-1.364075 54.922615,-1.363938 54.922679,-1.363801 54.922724,-1.363700 54.922746,-1.361538 54.922980,-1.360976 54.923020,-1.360387 54.923039,-1.359553 54.923040,-1.358927 54.923017,-1.358396 54.922980,-1.357796 54.922919,-1.357499 54.922880,-1.357504 54.922866,-1.357314 54.922840,-1.357317 54.922836,-1.357230 54.922821,-1.357087 54.922800,-1.357055 54.922809,-1.356674 54.922744,-1.356200 54.922649,-1.355644 54.922518,-1.354988 54.922338,-1.354559 54.922201,-1.354342 54.922123,-1.354359 54.922105,-1.353956 54.921958,-1.353646 54.921830,-1.353118 54.921595,-1.352751 54.921412,-1.352621 54.921279,-1.352577 54.921250,-1.352501 54.921234,-1.352435 54.921241,-1.352371 54.921270,-1.352346 54.921306,-1.352363 54.921358,-1.352496 54.921434,-1.352849 54.921614,-1.353388 54.921865,-1.354103 54.922156,-1.354714 54.922363,-1.355365 54.922553,-1.356164 54.922747,-1.356920 54.922891,-1.357331 54.922956,-1.357827 54.923021,-1.358564 54.923094,-1.359419 54.923140,-1.360121 54.923145,-1.360839 54.923126,-1.361188 54.923108,-1.361773 54.923059,-1.363293 54.922894,-1.363325 54.922884,-1.364645 54.922734,-1.364709 54.922731,-1.364746 54.922738,-1.364777 54.922760,-1.364907 54.923139,-1.364839 54.923146,-1.364877 54.923264,-1.364894 54.923262,-1.364901 54.923281,-1.364959 54.923274,-1.365171 54.923889,-1.365176 54.923910,-1.365124 54.923950,-1.365103 54.923978,-1.365090 54.924019,-1.365091 54.924040,-1.365162 54.924250,-1.365294 54.924235,-1.365561 54.925006,-1.365504 54.925014,-1.365511 54.925032,-1.365496 54.925035,-1.365539 54.925145,-1.365606 54.925138,-1.365902 54.926001,-1.365992 54.925991,-1.366101 54.926063,-1.366128 54.926095,-1.366128 54.926116,-1.366108 54.926147,-1.366042 54.926192,-1.365742 54.926296,-1.365722 54.926283,-1.365687 54.926303,-1.365709 54.926318,-1.365681 54.926368,-1.365680 54.926394,-1.365882 54.926691,-1.366192 54.926980,-1.366384 54.927494,-1.366414 54.927535,-1.366476 54.927581,-1.366626 54.927651,-1.366731 54.927717,-1.366989 54.927560,-1.366988 54.927545,-1.367036 54.927527,-1.367045 54.927505,-1.367212 54.927489,-1.367455 54.927407,-1.370088 54.927446,-1.370318 54.927448,-1.370348 54.927442,-1.370476 54.927447,-1.370510 54.927465,-1.370479 54.927658)))","Roker Park, Sunderland","303","POINT (-1.368002 54.92428)","conservation-area","some","1852","1995-01-01","geography","1995-01-01","https://www.sunderland.gov.uk/media/7646/Roker-Park-Character-Appraisal-Adopted-as-Planning-Guidance-in-February-2007/pdf/Roker_Park_planning_guidance_LQR.pdf?m=1652274974803","https://www.sunderland.gov.uk/conservation",,"Best Map is shown on page 8 of the appraisal document.",
"conservation-area",,44003604,"2025-09-09",,"MULTIPOLYGON (((-1.376567 54.894288,-1.376621 54.894336,-1.377084 54.894099,-1.377264 54.894020,-1.376987 54.893838,-1.377068 54.893792,-1.377067 54.893766,-1.377082 54.893753,-1.377399 54.893602,-1.379278 54.892660,-1.380010 54.892239,-1.380473 54.891953,-1.381170 54.891609,-1.381405 54.891520,-1.382944 54.891057,-1.382878 54.890973,-1.382462 54.890500,-1.382287 54.890555,-1.382256 54.890522,-1.381891 54.890630,-1.381947 54.890692,-1.381846 54.890735,-1.380638 54.891119,-1.380381 54.890906,-1.379664 54.891253,-1.379547 54.891166,-1.378883 54.891480,-1.378777 54.891479,-1.378335 54.891687,-1.378262 54.891636,-1.377534 54.891979,-1.377524 54.892002,-1.377373 54.891887,-1.377270 54.891797,-1.377182 54.891709,-1.377210 54.891697,-1.377187 54.891672,-1.376578 54.891058,-1.375661 54.891362,-1.375405 54.891466,-1.374941 54.891639,-1.374898 54.891656,-1.374765 54.891754,-1.373984 54.892078,-1.374882 54.892843,-1.375516 54.893358,-1.376567 54.894288)))","The Cedars","303","POINT (-1.377766 54.89224)","conservation-area","some","1858",,"geography",,"https://www.sunderland.gov.uk/media/2688/The-Cedars-Character-Appraisal-Adopted-as-Planning-Guidance-in-March-2008/pdf/The_Cedars_planning_guidance_LQR.pdf?m=1652275382637","https://www.sunderland.gov.uk/conservation",,"Best Map is shown on page 9 of the appraisal document.",
"conservation-area",,44003605,"2025-09-09",,"MULTIPOLYGON (((-1.368519 54.909538,-1.369405 54.908993,-1.369578 54.908905,-1.369412 54.908795,-1.369919 54.908635,-1.369475 54.908144,-1.369431 54.908083,-1.369241 54.907763,-1.370356 54.907543,-1.370240 54.907352,-1.370174 54.907162,-1.369970 54.907132,-1.369708 54.907068,-1.368855 54.906776,-1.368616 54.906701,-1.368192 54.906543,-1.367585 54.906333,-1.367010 54.906169,-1.365127 54.905478,-1.364875 54.905476,-1.364140 54.905419,-1.364194 54.905542,-1.364300 54.905728,-1.365564 54.908154,-1.365681 54.909131,-1.365929 54.909481,-1.366039 54.909616,-1.367224 54.908973,-1.367271 54.908957,-1.367315 54.908952,-1.367413 54.908972,-1.368519 54.909538)))","Old Sunderland","303","POINT (-1.367152 54.907574)","conservation-area","some","1848","1969-01-01","geography","1969-01-01",,,,,
"conservation-area",,44003606,"2025-09-09",,"MULTIPOLYGON (((-1.362122 54.870639,-1.362996 54.871034,-1.363708 54.870477,-1.363464 54.870314,-1.363568 54.870163,-1.363660 54.870072,-1.363815 54.870119,-1.364126 54.869971,-1.363301 54.869540,-1.362961 54.869286,-1.363023 54.869257,-1.362987 54.869160,-1.362809 54.868375,-1.362775 54.868363,-1.362771 54.868349,-1.362321 54.868261,-1.362290 54.868236,-1.362297 54.868128,-1.361620 54.868114,-1.360938 54.868280,-1.360703 54.868333,-1.360476 54.868373,-1.360177 54.868369,-1.359228 54.868265,-1.358692 54.868215,-1.358308 54.868200,-1.357997 54.868218,-1.357074 54.868342,-1.356985 54.868384,-1.356909 54.868443,-1.356798 54.868626,-1.356793 54.868653,-1.356709 54.868746,-1.356686 54.868792,-1.356674 54.868828,-1.356647 54.869070,-1.356618 54.869183,-1.356588 54.869246,-1.356680 54.869353,-1.356699 54.869386,-1.356761 54.869425,-1.356780 54.869427,-1.357036 54.869339,-1.357202 54.869505,-1.356959 54.869593,-1.356887 54.869633,-1.357506 54.870037,-1.357628 54.870098,-1.357853 54.870186,-1.357966 54.870241,-1.358232 54.870077,-1.358365 54.870026,-1.358830 54.870507,-1.358985 54.870439,-1.359129 54.870351,-1.359329 54.870263,-1.359598 54.870158,-1.359932 54.869993,-1.360180 54.869900,-1.360240 54.869897,-1.360303 54.869906,-1.360352 54.869926,-1.360407 54.869995,-1.360454 54.870030,-1.360872 54.870311,-1.360976 54.870364,-1.360969 54.870383,-1.361278 54.870560,-1.361428 54.870628,-1.361459 54.870639,-1.361697 54.870467,-1.361827 54.870526,-1.361846 54.870515,-1.362122 54.870639)))","Ryhope Village","303","POINT (-1.360333 54.869359)","conservation-area","some","1859","1971-01-01","geography","1971-01-01","https://www.sunderland.gov.uk/media/9151/Ryhope-Village-Character-Appraisal-Adopted-as-Planning-Guidance-in-December-2010/pdf/Ryhope_Village_Planning_Guidance.pdf?m=1652275888050","https://www.sunderland.gov.uk/conservation",,"Best Map is shown on page 10 of the appraisal document.",
"conservation-area",,44003607,"2025-09-09",,"MULTIPOLYGON (((-1.468027 54.843275,-1.468220 54.843402,-1.468830 54.843606,-1.469190 54.843758,-1.470188 54.843514,-1.470187 54.843408,-1.470236 54.843396,-1.470490 54.843366,-1.470752 54.843274,-1.470898 54.843240,-1.471276 54.843127,-1.471460 54.843058,-1.471561 54.843035,-1.471607 54.843015,-1.471640 54.843015,-1.471705 54.842968,-1.473611 54.842644,-1.473535 54.842492,-1.473414 54.842518,-1.473297 54.842251,-1.474582 54.842033,-1.474576 54.842000,-1.474789 54.841990,-1.474651 54.841303,-1.474659 54.841282,-1.473905 54.841279,-1.473602 54.841270,-1.473084 54.841239,-1.472589 54.841191,-1.471910 54.841093,-1.471379 54.840964,-1.471119 54.840889,-1.470911 54.840816,-1.470731 54.840746,-1.470446 54.840620,-1.470063 54.840419,-1.470003 54.840397,-1.469892 54.840383,-1.469689 54.840395,-1.469481 54.840418,-1.469313 54.840452,-1.469183 54.840508,-1.468813 54.840719,-1.468495 54.840938,-1.468324 54.841076,-1.468135 54.841251,-1.467983 54.841420,-1.467844 54.841613,-1.467733 54.841822,-1.467693 54.841917,-1.467647 54.842101,-1.467634 54.842234,-1.467650 54.842408,-1.467685 54.842543,-1.467906 54.843138,-1.467938 54.843196,-1.468027 54.843275)))","St Michael's","303","POINT (-1.470602 54.84204)","conservation-area","some","1850","1975-01-01","geography","1975-01-01","https://www.sunderland.gov.uk/media/2690/Houghton-Character-Appraisal-Adopted-as-Planning-Guidance-in-December-2007/pdf/Houghton_planning_guidance_LQR.pdf?m=1652275162580","https://www.sunderland.gov.uk/conservation",,"Split areaBest Map is shown on page 8 of the appraisal document.",
"conservation-area",,44003608,"2025-09-09",,"MULTIPOLYGON (((-1.386352 54.906998,-1.386589 54.907568,-1.386644 54.907743,-1.388057 54.907668,-1.388190 54.907658,-1.388153 54.907605,-1.388071 54.907429,-1.388113 54.907422,-1.388065 54.907317,-1.388040 54.907219,-1.388004 54.907139,-1.389209 54.907005,-1.389211 54.907014,-1.389269 54.907004,-1.389254 54.906979,-1.389327 54.906965,-1.389321 54.906954,-1.390257 54.906772,-1.390039 54.906410,-1.390023 54.906356,-1.390024 54.906306,-1.390051 54.906264,-1.390089 54.906240,-1.390136 54.906226,-1.390192 54.906224,-1.390248 54.906235,-1.390266 54.906153,-1.390278 54.906146,-1.390228 54.906014,-1.390250 54.905980,-1.390245 54.905944,-1.390203 54.905890,-1.390219 54.905828,-1.390237 54.905816,-1.390167 54.905596,-1.390103 54.905436,-1.390063 54.905355,-1.390019 54.905310,-1.390022 54.905283,-1.389761 54.904871,-1.389703 54.904796,-1.389644 54.904754,-1.389541 54.904713,-1.389454 54.904697,-1.389269 54.904691,-1.389195 54.904504,-1.389271 54.904473,-1.389446 54.904370,-1.389484 54.904328,-1.389495 54.904265,-1.389478 54.904120,-1.389493 54.903763,-1.389476 54.903627,-1.389447 54.903516,-1.389379 54.903354,-1.389326 54.903269,-1.389247 54.903189,-1.389177 54.903151,-1.389030 54.903113,-1.388915 54.903105,-1.388779 54.903116,-1.388597 54.903042,-1.388497 54.902942,-1.388493 54.902919,-1.388475 54.902894,-1.388388 54.902841,-1.388161 54.902774,-1.387879 54.902718,-1.387599 54.902677,-1.386923 54.902601,-1.386656 54.902698,-1.386645 54.902708,-1.386650 54.902733,-1.386686 54.902781,-1.386733 54.902827,-1.386785 54.902858,-1.386969 54.903063,-1.387139 54.903219,-1.387266 54.903294,-1.387432 54.903439,-1.387338 54.903476,-1.387303 54.903475,-1.386059 54.904001,-1.386181 54.904106,-1.386990 54.903828,-1.387080 54.903904,-1.387123 54.903922,-1.387300 54.904142,-1.387291 54.904144,-1.387735 54.904648,-1.387770 54.904679,-1.387770 54.904697,-1.387684 54.904707,-1.387663 54.904700,-1.387429 54.904726,-1.387520 54.905028,-1.387547 54.905025,-1.387693 54.905463,-1.387728 54.905459,-1.387851 54.905825,-1.387832 54.905830,-1.387851 54.905847,-1.388007 54.906309,-1.387354 54.906374,-1.386877 54.906401,-1.386889 54.906466,-1.386669 54.906481,-1.386750 54.906908,-1.386352 54.906998)))","Bishopwearmouth","303","POINT (-1.388353 54.90525)","conservation-area","some","1847","1969-01-01","geography","1969-01-01","https://www.sunderland.gov.uk/media/20610/Bishopwearmouth-Character-Appraisal-Adopted-as-Planning-Guidance-in-June-2018/pdf/Adopted_Bishopwearmouth_CAMP_June_2018.pdf?m=1652275084407","https://www.sunderland.gov.uk/conservation",,"Best Map is shown on page 9 of the appraisal document.",
"conservation-area",,44003609,"2025-09-09",,"MULTIPOLYGON (((-1.382142 54.907808,-1.382330 54.908192,-1.382488 54.908459,-1.382524 54.908506,-1.382806 54.908440,-1.383040 54.908370,-1.382926 54.908060,-1.382734 54.907535,-1.382713 54.907528,-1.382587 54.907429,-1.382259 54.906153,-1.382243 54.906029,-1.382184 54.905812,-1.382165 54.905806,-1.382162 54.905796,-1.382050 54.905377,-1.382045 54.905349,-1.382063 54.905241,-1.382002 54.905163,-1.381793 54.904463,-1.381684 54.904327,-1.381569 54.903993,-1.381326 54.903989,-1.380948 54.903946,-1.380021 54.903971,-1.379986 54.903965,-1.379928 54.903935,-1.379881 54.903923,-1.379761 54.903913,-1.379691 54.903919,-1.379633 54.903937,-1.379596 54.903959,-1.379554 54.904004,-1.378672 54.904009,-1.378442 54.904064,-1.377119 54.904461,-1.376599 54.903980,-1.376293 54.903671,-1.375791 54.903812,-1.375802 54.903843,-1.376126 54.904219,-1.375681 54.904365,-1.376365 54.905052,-1.376385 54.905093,-1.376360 54.905136,-1.376212 54.905262,-1.376116 54.905312,-1.375709 54.905465,-1.374737 54.905782,-1.374829 54.905933,-1.375034 54.906196,-1.375204 54.906443,-1.375316 54.906652,-1.375637 54.906597,-1.377250 54.906282,-1.377744 54.906989,-1.377628 54.907013,-1.377926 54.907445,-1.377931 54.907458,-1.377921 54.907463,-1.378031 54.907446,-1.378087 54.907437,-1.378329 54.907818,-1.378726 54.907769,-1.379738 54.907673,-1.379865 54.908020,-1.380337 54.907963,-1.381682 54.907842,-1.382132 54.907770,-1.382142 54.907808)))","Sunniside","303","POINT (-1.379284 54.905897)","conservation-area","some","1846","1969-01-01","geography","1969-01-01","https://www.sunderland.gov.uk/media/7948/Sunniside-Character-Appraisal-Adopted-as-Planning-Guidance-in-November-2009/pdf/Sunniside_planning_guidance_LQR.pdf?m=1652275636577","https://www.sunderland.gov.uk/conservation",,"Best Map is shown on page 12 of the appraisal document.",
